name,operator,status,payload_leo_kg,payload_gto_kg,payload_escape_kg,fairing_volume_m3,list_price_usd,usd_per_kg_to_leo,usd_per_kg_to_gto,usd_per_kg_to_escape,reference_year,notes,launch_type,origin,trl,max_accel_g,tanker_flights_for_escape,country,availability,reusability,core_propellant,first_flight_year,price_basis,list_price_usd_low,list_price_usd_high,payload_leo_kg_low,payload_leo_kg_high,payload_gto_kg_low,payload_gto_kg_high,payload_escape_kg_low,payload_escape_kg_high,usd_per_kg_to_leo_low,usd_per_kg_to_leo_high,usd_per_kg_to_gto_low,usd_per_kg_to_gto_high,usd_per_kg_to_escape_low,usd_per_kg_to_escape_high,catalog_date,pipeline_version
Ariane 5 ECA,Arianespace / ESA,retired,20000,10700.0,6100.0,,191000000,9550,17850.0,31311.0,2026,"Last flight Jul 2023.  Usually flew two GTO satellites at once, so its per-customer price was lower than the €150-190M vehicle cost this band brackets.  Launched JWST (~6.2 t, near C3=0).",chemical_rocket,earth_surface,9,6.0,0,Europe,unavailable,expendable,hydrolox,2002,estimate,165000000,220000000,20000,20000,10500.0,10865.0,6100.0,6100.0,8250,11000,15186.0,20952.0,27049.0,36066.0,2026-09-23,1.16.0
Vega,Avio / ESA,retired,1500,0.0,0.0,,36800000,24533,,,2026,"The original Vega, replaced by Vega C; last flight Sep 2024. ~€32M.  Two failures in its last four years (VV15, VV17).",chemical_rocket,earth_surface,9,6.0,0,Europe,unavailable,expendable,solid,2012,reported,36800000,36800000,1500,1500,0.0,0.0,0.0,0.0,24533,24533,,,,,2026-09-23,1.16.0
Space Shuttle,NASA,retired,25900,,2380.0,300.0,972000000,37529,,408403.0,2026,"Retired 2011.  Whole-programme cost per flight was ~$1.5B in 2011 dollars (Pielke & Byerly) — the source of the famous $54,500/kg — carried to 2026 dollars (~x1.44) as the high end; the marginal cost of one more flight, ~$450M, is the low end.  Mixed dollar years on purpose: the band is what a reader might have been quoted.  Two orbiters lost in 135 flights.  Escape is Galileo on an IUS upper stage.",chemical_rocket,earth_surface,9,6.0,0,USA,unavailable,partial,hydrolox,1981,estimate,450000000,2100000000,24400,27500,,,2380.0,2380.0,16364,86066,,,189076.0,882353.0,2026-09-23,1.16.0
Saturn V,NASA,retired,129000,,46000.0,,1380000000,10698,,30000.0,2026,"Last flight 1973 (Skylab).  ~$185M per vehicle in 1969-73 dollars, carried to 2026 dollars; the low end is the frequently-quoted 2020-dollar figure.  Excludes the programme's development cost, which was most of it.  Escape is TLI.  The only vehicle before SLS to send people beyond LEO.",chemical_rocket,earth_surface,9,6.0,0,USA,unavailable,expendable,kerolox,1967,estimate,1230000000,1550000000,118000,140000,,,43500.0,48600.0,8786,13136,,,25309.0,35632.0,2026-09-23,1.16.0
Starship (projected),SpaceX,development,59200,12100.0,27000.0,1000.0,94900000,1603,7843.0,3515.0,2026,"Source: SpaceX-Voyager Technologies dedicated-launch contract (2026) at $90M; SpaceX's own $100M expendable figure as the high end.  NOT YET ORBITAL: 13 test flights to Jul 2026, 8 successful, all suborbital by design.  Block 2 was built for 100 t and fell to ~35 t, which is the low end; the V3 target of 100 t is the high end.  GTO scales SpaceX's 21 t by the same 35%.  CAVEAT: escape payload (27 t) > GTO only because it assumes orbital refueling; tanker_flights_for_escape carries the 12 flights (8-16 quoted), and 12 x ~$95M is the cost that caveat is about.",chemical_rocket,earth_surface,6,6.0,12,USA,open,full,methalox,2023,contract,90000000,100000000,35000,100000,7000.0,21000.0,27000.0,27000.0,900,2857,4286.0,14286.0,3333.0,3704.0,2026-09-23,1.16.0
New Glenn 9x4,Blue Origin,development,70000,,20000.0,,194000000,2771,,9700.0,2026,"Source: Blue Origin (Nov 2025) via Wikipedia — nine booster engines, four upper-stage engines, 8.7 m fairing.  No price published; $150-250M is an estimate.  GTO is NaN because only a direct-to-GSO figure (>14 t) has been given, which is a different and much harder orbit.",chemical_rocket,earth_surface,5,6.0,0,USA,open,first_stage,methalox,,estimate,150000000,250000000,70000,70000,,,20000.0,20000.0,2143,3571,,,7500.0,12500.0,2026-09-23,1.16.0
Neutron,Rocket Lab,development,13000,1500.0,1220.0,113.0,52400000,4031,34933.0,42951.0,2026,"Source: Rocket Lab — ~$50-55M, 13 t LEO reusable.  Methalox, captive fairing, first-stage return.  First flight has slipped from 2024 to NET Q4 2026 (a stage-1 tank failed in test Jan 2026).  Beyond-LEO capability is thin: the upper stage is sized for constellation work.",chemical_rocket,earth_surface,6,6.0,0,USA,open,first_stage,methalox,,target,50000000,55000000,13000,13000,1500.0,1500.0,1000.0,1500.0,3846,4231,33333.0,36667.0,33333.0,55000.0,2026-09-23,1.16.0
Terran R,Relativity Space,development,23500,5500.0,4000.0,340.0,62000000,2638,11273.0,15500.0,2026,"Source: Relativity via Wikipedia — 23.5 t reusable, 33.5 t fully expended; $55M listed.  Until v1.16.0 this row paired the 33.5 t EXPENDABLE figure with a reusable price.  NET late 2026.  GTO and escape are the older published figures and are not re-stated for the reusable config.",chemical_rocket,earth_surface,5,6.0,0,USA,open,first_stage,methalox,,target,55000000,70000000,23500,23500,5500.0,5500.0,4000.0,4000.0,2340,2979,10000.0,12727.0,13750.0,17500.0,2026-09-23,1.16.0
Nova,Stoke Space,development,3000,720.0,480.0,80.0,24500000,8167,34028.0,51042.0,2026,"Source: Stoke Space via Wikipedia — 3 t fully reusable, 7 t expendable; the 5 t this row carried until v1.16.0 was not a fully-reusable figure.  Stoke publishes neither a price nor GTO or escape figures: the price is an estimate and GTO / escape are the old 1,200 / 800 kg scaled by 3/5.  The only vehicle here besides Starship designed for FULL reuse, including a regeneratively cooled upper-stage heat shield.",chemical_rocket,earth_surface,5,6.0,0,USA,open,full,methalox,,estimate,20000000,30000000,3000,3000,720.0,720.0,480.0,480.0,6667,10000,27778.0,41667.0,41667.0,62500.0,2026-09-23,1.16.0
Eclipse (MLV),Firefly / Northrop Grumman,development,16300,3100.0,2140.0,160.0,80000000,4908,25806.0,37383.0,2026,"Source: Firefly / Northrop.  Formerly MLV; renamed May 2025. NET 2027, early flights expendable with reuse targeted by the sixth.  No published price.",chemical_rocket,earth_surface,5,6.0,0,USA,open,first_stage,methalox,,estimate,80000000,80000000,16300,16300,3000.0,3200.0,2000.0,2300.0,4908,4908,25000.0,26667.0,34783.0,40000.0,2026-09-23,1.16.0
Tianlong-3,Space Pioneer (China),development,17000,,,150.0,33500000,1971,,,2026,"Source: Space Pioneer via Wikipedia — 17 t LEO, 14 t SSO; price estimated.  Maiden flight Apr 2026 FAILED shortly after liftoff; a first stage also broke loose from its test stand and flew in Jun 2024.  Reusable first stage intended.  The GTO and escape figures this row carried had no source.",chemical_rocket,earth_surface,6,6.0,0,China,restricted,expendable,kerolox,2026,estimate,25000000,45000000,17000,17000,,,,,1471,2647,,,,,2026-09-23,1.16.0
Long March 10,CASC (China),development,70000,,27000.0,310.0,212000000,3029,,7852.0,2026,"Source: CASC crewed-lunar-programme disclosures; price estimated.  70 t LEO / 27 t TLI for a 2030 crewed lunar landing.  The single-core 10A tested its escape system on a suborbital flight (Feb 2026) and the 10B is flying (own row), so the core hardware is real; the three-core vehicle has not flown.",chemical_rocket,earth_surface,6,6.0,0,China,government_only,expendable,kerolox,,estimate,150000000,300000000,70000,70000,,,27000.0,27000.0,2143,4286,,,5556.0,11111.0,2026-09-23,1.16.0
Long March 9,CASC (China),development,150000,,52000.0,1000.0,707000000,4713,,13596.0,2026,"Source: CASC roadmap presentations; the 2023 design is 150 t LEO / 54 t TLI with a reusable 30-engine methalox first stage, first flight planned for 2033.  TRL 3.  Price is a guess, stated as one.  Present because it is the only announced vehicle in the Starship class that is not Starship.",chemical_rocket,earth_surface,3,6.0,0,China,government_only,first_stage,methalox,,estimate,500000000,1000000000,150000,150000,,,50000.0,54000.0,3333,6667,,,9259.0,20000.0,2026-09-23,1.16.0
Soyuz-5,RKTs Progress / Roscosmos,development,16700,5000.0,,,49000000,2934,9800.0,,2026,"Source: Wikipedia — 18 t uncrewed / 15.5 t crewed-profile LEO, 5 t GTO.  Zenit's successor.  First flight Apr 2026 was a successful SUBORBITAL test with a mass simulator; not yet orbital.  Price estimated.",chemical_rocket,earth_surface,6,6.0,0,Russia,restricted,expendable,kerolox,2026,estimate,40000000,60000000,15500,18000,5000.0,5000.0,,,2222,3871,8000.0,12000.0,,,2026-09-23,1.16.0
Epsilon S,IHI Aerospace / JAXA,development,1400,0.0,0.0,,30800000,22000,,,2026,"Source: JAXA via Wikipedia — 1.4 t to 500 km, 600 kg to 700 km SSO.  The new second-stage motor exploded in test twice (Jul 2023, Nov 2024); JAXA reverted to the Enhanced Epsilon stage, first flight possibly late 2026.  The high end is the original Epsilon's $38M, since the S has not beaten it yet.",chemical_rocket,earth_surface,6,6.0,0,Japan,open,expendable,solid,,estimate,25000000,38000000,1400,1400,0.0,0.0,0.0,0.0,17857,27143,,,,,2026-09-23,1.16.0
Hyperbola-3,i-Space (China),development,8500,,,,42400000,4988,,,2026,"Source: i-Space via Wikipedia — 8.5 t reusable, 13.4 t expendable.  Hop tests in 2023; orbital debut slipped from 2025.  Price estimated.",chemical_rocket,earth_surface,5,6.0,0,China,restricted,first_stage,methalox,,estimate,30000000,60000000,8500,8500,,,,,3529,7059,,,,,2026-09-23,1.16.0
SLS Block 1B (Cargo),NASA,concept,105000,,42000.0,340.0,2650000000,25238,,63095.0,2026,"CANCELLED Feb 2026 along with the Exploration Upper Stage; never flew.  Until v1.16.0 this row was marked OPERATIONAL and priced at $4.1B, which is NASA OIG's per-Artemis-flight figure including Orion and its service module, not a launch price.  Now carries the same launch-only band as Block 1, a floor for a vehicle that would have cost more.  Its 41 t GTO figure had been scaled from TLI, not published, and is gone.",chemical_rocket,earth_surface,6,6.0,0,USA,unavailable,expendable,hydrolox,,reported,2500000000,2800000000,105000,105000,,,42000.0,42000.0,23810,26667,,,59524.0,66667.0,2026-09-23,1.16.0
SpinLaunch Orbital,SpinLaunch,concept,200,0.0,0.0,0.6,1250000,6250,,,2026,"A vacuum centrifuge throws the vehicle to ~2 km/s and a small rocket stage does the rest.  The suborbital accelerator flew 10 test articles from 2021, so this is a real machine, not a paper one — TRL 4.  ~10,000 g at release is the whole story. Since 2025 the company's priority is its Meridian satellite constellation, launched on conventional rockets; the orbital accelerator is 'exploratory' as of May 2026.  The $/kg is the published target and assumes a cadence nobody has shown.",kinetic,earth_surface,4,10000.0,0,USA,unavailable,not_applicable,not_applicable,,target,1250000,1250000,200,200,0.0,0.0,0.0,0.0,6250,6250,,,,,2026-09-23,1.16.0
Light-gas gun (orbital),Green Launch / HARP lineage,concept,30,0.0,0.0,0.05,300000,10000,,,2026,"Gerald Bull's HARP put a 180 kg slug to 180 km in 1966 — the altitude record for a gun still stands.  Orbital insertion needs a kick stage, and ~30,000 g means the kick stage has to survive it too.  Hydrogen-driven light-gas guns reach ~7 km/s in the laboratory.  Payload-limited to consumables forever.",gun,earth_surface,3,30000.0,0,USA / Canada,unavailable,not_applicable,not_applicable,,target,300000,300000,30,30,0.0,0.0,0.0,0.0,10000,10000,,,,,2026-09-23,1.16.0
StarTram (maglev),concept — Powell & Maise,concept,40000,15000.0,10000.0,200.0,1600000,40,107.0,160.0,2026,"Superconducting maglev accelerator in an evacuated tube, exiting at altitude through a magnetically-levitated tether. The Gen-1 cargo variant is quoted near $40/kg — two orders below anything flying — on a claimed ~$20B of infrastructure and 30 g, which is survivable by hardware unlike the two rows above.  TRL 2: no element of the launch tube has been built. The $/kg assumes the capital is already sunk and the traffic exists to amortise it, which is the assumption doing all the work in every entry in this section.",maglev,earth_surface,2,30.0,0,USA,unavailable,not_applicable,not_applicable,,target,1600000,1600000,40000,40000,15000.0,15000.0,10000.0,10000.0,40,40,107.0,107.0,160.0,160.0,2026-09-23,1.16.0
Skylon / SABRE,concept — Reaction Engines,concept,15000,4000.0,2000.0,140.0,15000000,1000,3750.0,7500.0,2026,"Air-breathing single-stage-to-orbit spaceplane: a precooler chills Mach-5 intake air in ~1/100 s so a rocket engine can breathe it to Mach 5.5, then closes the cycle. The precooler was demonstrated at Mach-5 conditions in 2019 and is the only part that was.  Reaction Engines Ltd entered administration in October 2024 — status 'concept' here is a statement about the company as much as the technology.",airbreathing,earth_surface,4,3.0,0,UK,unavailable,full,hydrolox,,target,15000000,15000000,15000,15000,4000.0,4000.0,2000.0,2000.0,1000,1000,3750.0,3750.0,7500.0,7500.0,2026-09-23,1.16.0
Sea Dragon,concept — Truax / Aerojet 1962,concept,550000,200000.0,150000.0,6000.0,300000000,545,1500.0,2000.0,2026,"Truax's 1962 sea-launched pressure-fed two-stage vehicle: 550 t to LEO, 23 m in diameter, built to shipyard tolerances in 8 mm steel rather than to aerospace ones.  TRW reviewed the design and found it sound.  It is here because it is the canonical demonstration that launch cost is an engineering CHOICE about tolerance and scale, not a physical constant — the entire premise the $/kg column rests on.",chemical_rocket,earth_surface,2,4.0,0,USA,unavailable,expendable,kerolox,,target,300000000,300000000,550000,550000,200000.0,200000.0,150000.0,150000.0,545,545,1500.0,1500.0,2000.0,2000.0,2026-09-23,1.16.0
Lunar mass driver,concept — O'Neill 1974,concept,100000,0.0,100000.0,,1000000,10,,10.0,2026,"Electromagnetically launch lunar regolith to escape velocity — 2.4 km/s, against Earth's 11.2 — with no atmosphere in the way.  O'Neill and Snow built and ran a prototype at Princeton in 1977.  The $/kg is electricity and amortisation, and it is roughly two hundred times below the cheapest rocket here.
⚠️  The payload columns are ANNUAL THROUGHPUT, not per-launch mass, and the origin is the lunar surface.  Module 4 departs from Earth and prices a discrete launch, so it cannot read either column correctly — which is why origin is gated rather than merely status.  This row is a marker for a delivery architecture the pipeline does not model, not an input to it.",kinetic,lunar_surface,3,1000.0,0,USA,unavailable,not_applicable,not_applicable,,target,1000000,1000000,100000,100000,0.0,0.0,100000.0,100000.0,10,10,,,10.0,10.0,2026-09-23,1.16.0
Lunar space elevator,concept — Pearson 1979,concept,50000,0.0,50000.0,,500000,10,,10.0,2026,"A tether from the lunar surface through Earth-Moon L1. Unlike an Earth elevator this needs NO new material: the Moon's shallow well and the L1 balance point put the required specific strength inside what Zylon and M5 already deliver (Pearson 1979; Eubanks & Radley 2016).  It is a manufacturing and capital problem, not a materials-science one — the single most under-appreciated entry in this table.
⚠️  Same caveats as the lunar mass driver: annual throughput, lunar origin, gated.",tether,lunar_surface,2,0.2,0,USA,unavailable,not_applicable,not_applicable,,target,500000,500000,50000,50000,0.0,0.0,50000.0,50000.0,10,10,,,10.0,10.0,2026-09-23,1.16.0
Earth space elevator,concept — Artsutanov 1960,concept,20000,20000.0,20000.0,,2000000,100,100.0,100.0,2026,"The one that needs a material nobody has.  A geostationary tether wants ~50-100 GPa·cm³/g of specific strength; carbon nanotube achieves it in single tubes millimetres long and nothing has been spun into a macroscopic fibre within an order of magnitude of it.  TRL 1, and unlike every other row here the gap is physics of materials rather than money.  Listed so that its absence is not read as an oversight, and so the LUNAR elevator two rows up is not tarred with it.",tether,earth_surface,1,0.1,0,USSR,unavailable,not_applicable,not_applicable,,target,2000000,2000000,20000,20000,20000.0,20000.0,20000.0,20000.0,100,100,100.0,100.0,100.0,100.0,2026-09-23,1.16.0
