vehicle,vehicle_status,segment,segment_dv_m_per_s,segment_duration_yr,propellant,propellant_isp_s,propellant_cost_usd_per_kg,launch_usd_per_kg_to_leo,propellant_mass_per_kg_payload,in_space_prop_usd_per_kg_payload,total_usd_per_kg_payload_to_segment_end,catalog_date,pipeline_version
Alpha,operational,TLI  →  low lunar orbit (LOI),900.0,0.01,Solar thermal steam  (water),190.0,2.0,15728,0.6209679475573551,1.2419358951147101,15729.241935895116,2026-09-23,1.16.0
Alpha,operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,15728,0.6060246391718906,0.9696394226750249,15728.969639422676,2026-09-23,1.16.0
Alpha,operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,Water  (electrothermal / resistojet),190.0,2.0,15728,10.191083515284166,20.382167030568333,15748.382167030568,2026-09-23,1.16.0
Alpha,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,15728,4.816565657801244,12.041414144503111,15740.041414144504,2026-09-23,1.16.0
Minotaur IV,operational,LEO  →  GTO,2440.0,0.001,Xenon  (Hall / ion),3000.0,10000.0,36145,0.08647327019190931,864.7327019190931,37009.73270191909,2026-09-23,1.16.0
Minotaur IV,operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,FEEP  (indium field emission),6000.0,250.0,36145,0.07947921442828254,19.869803607070637,36164.86980360707,2026-09-23,1.16.0
Minotaur IV,operational,LEO  →  hard NEA,8500.0,2.0,Nuclear pulse  (Orion),10000.0,50000.0,36145,0.09054315351303877,4527.157675651938,40672.157675651935,2026-09-23,1.16.0
Minotaur IV,operational,NEA  →  Earth return (propulsive),5500.0,1.5,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,36145,9.87612326265775,4938.061631328875,41083.06163132888,2026-09-23,1.16.0
Minotaur IV,operational,Main belt  →  Earth return,7500.0,4.0,"Nuclear thermal  (LH2, NTP)",900.0,10.0,36145,1.3390936161683666,13.390936161683666,36158.39093616168,2026-09-23,1.16.0
Minotaur IV,operational,TLI  →  NRHO insertion,450.0,0.01,Momentum-exchange tether,inf,0.0,36145,0.0,0.0,36145.0,2026-09-23,1.16.0
Minotaur IV,operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,Solid  (APCP),285.0,15.0,36145,0.9288267533560257,13.932401300340386,36158.93240130034,2026-09-23,1.16.0
Minotaur IV,operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,"VASIMR  (argon, variable Isp)",4000.0,10.0,36145,0.03866210047200935,0.38662100472009353,36145.38662100472,2026-09-23,1.16.0
Minotaur IV,operational,LEO  →  trans-Mars injection,3600.0,0.7,methalox  (LCH4 / LOX),380.0,0.24347826086956526,36145,1.6275370870083044,0.39626989944550023,36145.396269899444,2026-09-23,1.16.0
Minotaur IV,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Water  (gridded ion / ECR),900.0,2.0,36145,0.10735204606807192,0.21470409213614383,36145.21470409213,2026-09-23,1.16.0
Minotaur IV,operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Li / F2 / H2  (tripropellant),542.0,37.5609756097561,36145,0.1845057161786141,6.930214705245506,36151.930214705244,2026-09-23,1.16.0
Minotaur IV,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Argon  (Hall / ion),1500.0,10.0,36145,0.006821267674013143,0.06821267674013143,36145.06821267674,2026-09-23,1.16.0
Soyuz-2.1a,operational,LEO  →  Earth escape (C3=0),3200.0,0.003,PPT  (PTFE pulsed plasma),1000.0,25.0,4557,0.3858437891195563,9.646094727988908,4566.646094727989,2026-09-23,1.16.0
Soyuz-2.1a,operational,LEO  →  average NEA,6500.0,1.5,Direct fusion drive,10000.0,1000000.0,4557,0.0685275228485216,68527.52284852159,73084.52284852159,2026-09-23,1.16.0
Soyuz-2.1a,operational,Asteroid station-keeping,200.0,0.5,HTP  (98% peroxide monoprop),165.0,5.0,4557,0.13156537896075782,0.6578268948037891,4557.657826894804,2026-09-23,1.16.0
Soyuz-2.1a,operational,NEA  →  Earth return (aerocap),1500.0,1.5,"Nuclear electric  (NEP, xenon)",5000.0,10000.0,4557,0.031064214076153895,310.64214076153894,4867.642140761539,2026-09-23,1.16.0
Soyuz-2.1a,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Beamed laser-thermal  (H2),900.0,10.0,4557,0.42889393726087466,4.288939372608747,4561.288939372609,2026-09-23,1.16.0
Soyuz-2.1a,operational,LEO  →  GTO (perigee burn),2455.0,0.001,Krypton  (Hall),2000.0,300.0,4557,0.13334129184218235,40.0023875526547,4597.002387552655,2026-09-23,1.16.0
Soyuz-2.1a,operational,LEO  →  GEO depot,4291.0,0.01,"Argon  (Hall / ion, cryogenic)",1500.0,10.0,4557,0.33871047427454104,3.3871047427454104,4560.387104742746,2026-09-23,1.16.0
Soyuz-2.1a,operational,NRHO  →  low lunar orbit,730.0,0.01,MMH / NTO  (hypergolic),336.0,59.528301886792455,4557,0.2480040145740363,14.763257848699709,4571.7632578487,2026-09-23,1.16.0
Soyuz-2.1a,operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,Hydrazine arcjet,600.0,75.0,4557,0.42889393726087466,32.1670452945656,4589.1670452945655,2026-09-23,1.16.0
Soyuz-2.1a,operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,CO / LOX  (carbonaceous ISRU),260.0,0.7095541401273886,4557,4.840949945651363,3.434916076086381,4560.434916076087,2026-09-23,1.16.0
Soyuz-2.1a,operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,UDMH / NTO  (hypergolic),318.0,47.5,4557,0.35351946220219155,16.792174454604098,4573.792174454604,2026-09-23,1.16.0
Soyuz-2.1b,operational,LEO  →  GTO,2440.0,0.001,Mercury ion  (RETIRED),3000.0,60.0,5922,0.08647327019190931,5.188396211514559,5927.188396211514,2026-09-23,1.16.0
Soyuz-2.1b,operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Antimatter-catalysed,100000.0,6.25e+16,5922,0.004599267269733698,287454204358356.1,287454204364278.1,2026-09-23,1.16.0
Soyuz-2.1b,operational,LEO  →  main-belt asteroid,10500.0,3.5,HTP / RP-1  (peroxide bipropellant),320.0,4.6875,5922,27.38735568973286,128.3782297956228,6050.378229795623,2026-09-23,1.16.0
Soyuz-2.1b,operational,NEA  →  Earth return (propulsive),5500.0,1.5,Solar thermal  (LH2),800.0,10.0,5922,1.0158781288496415,10.158781288496414,5932.158781288496,2026-09-23,1.16.0
Soyuz-2.1b,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,kerolox  (RP-1 / LOX),340.0,0.896969696969697,5922,1.5721370225654416,1.410159268725366,5923.410159268726,2026-09-23,1.16.0
Soyuz-2.1b,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Iodine  (Hall / gridded),2000.0,60.0,5922,0.20147373807019697,12.088424284211818,5934.088424284212,2026-09-23,1.16.0
Soyuz-2.1b,operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,5922,0.04791761815225648,3.8334094521805184,5925.833409452181,2026-09-23,1.16.0
Soyuz-2.1b,operational,TLI  →  low lunar orbit (LOI),900.0,0.01,Hydrazine  (monoprop),220.0,75.0,5922,0.5176402062232073,38.82301546674054,5960.823015466741,2026-09-23,1.16.0
Soyuz-2.1b,operational,LEO  →  trans-Mars injection,3600.0,0.7,Electrospray  (ionic liquid),2500.0,2000.0,5922,0.1581676390229092,316.3352780458184,6238.335278045818,2026-09-23,1.16.0
Soyuz-2.1b,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Mass driver  (regolith reaction mass),306.0,0.1,5922,0.34974614392166337,0.034974614392166335,5922.034974614392,2026-09-23,1.16.0
Soyuz-2.1b,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,5922,2.1755026470017573,116.02680784009371,6038.026807840094,2026-09-23,1.16.0
Soyuz-2.1b,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Solar sail  (photonic),inf,0.0,5922,0.0,0.0,5922.0,2026-09-23,1.16.0
Angara A5,operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Magnetic sail / electric sail,inf,0.0,4082,0.0,0.0,4082.0,2026-09-23,1.16.0
Angara A5,operational,LEO  →  hard NEA,8500.0,2.0,Cold gas  (GN2),70.0,1.0,4082,238533.2775688494,238533.2775688494,242615.2775688494,2026-09-23,1.16.0
Angara A5,operational,Asteroid station-keeping,200.0,0.5,Solar thermal steam  (water),190.0,2.0,4082,0.11331110074959683,0.22662220149919365,4082.226622201499,2026-09-23,1.16.0
Angara A5,operational,Main belt  →  Earth return,7500.0,4.0,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,4082,4.430368473920341,7.0885895582725444,4089.0885895582724,2026-09-23,1.16.0
Angara A5,operational,TLI  →  NRHO insertion,450.0,0.01,Water  (electrothermal / resistojet),190.0,2.0,4082,0.27317239506570945,0.5463447901314189,4082.5463447901316,2026-09-23,1.16.0
Angara A5,operational,LEO  →  GTO (perigee burn),2455.0,0.001,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,4082,2.2939808261121764,5.73495206528044,4087.7349520652806,2026-09-23,1.16.0
Angara A5,operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Xenon  (Hall / ion),3000.0,10000.0,4082,0.05187882693939838,518.7882693939838,4600.788269393984,2026-09-23,1.16.0
Angara A5,operational,NRHO  →  low lunar orbit,730.0,0.01,FEEP  (indium field emission),6000.0,250.0,4082,0.012483827729240726,3.1209569323101816,4085.12095693231,2026-09-23,1.16.0
Angara A5,operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,Nuclear pulse  (Orion),10000.0,50000.0,4082,0.02164496644423486,1082.248322211743,5164.248322211743,2026-09-23,1.16.0
Angara A5,operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,4082,0.47776322999819465,238.88161499909734,4320.881614999097,2026-09-23,1.16.0
Angara A5,operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,"Nuclear thermal  (LH2, NTP)",900.0,10.0,4082,0.11288628867123851,1.128862886712385,4083.1288628867123,2026-09-23,1.16.0
Proton-M,operational,LEO  →  GTO,2440.0,0.001,Momentum-exchange tether,inf,0.0,2955,0.0,0.0,2955.0,2026-09-23,1.16.0
Proton-M,operational,LEO  →  average NEA,6500.0,1.5,Solid  (APCP),285.0,15.0,2955,9.23351947925253,138.50279218878796,3093.502792188788,2026-09-23,1.16.0
Proton-M,operational,LEO  →  main-belt asteroid,10500.0,3.5,"VASIMR  (argon, variable Isp)",4000.0,10.0,2955,0.3069229824121569,3.0692298241215688,2958.0692298241215,2026-09-23,1.16.0
Proton-M,operational,NEA  →  Earth return (aerocap),1500.0,1.5,methalox  (LCH4 / LOX),380.0,0.24347826086956526,2955,0.49558817528519317,0.12066494702596009,2955.120664947026,2026-09-23,1.16.0
Proton-M,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Water  (gridded ion / ECR),900.0,2.0,2955,0.42889393726087466,0.8577878745217493,2955.857787874522,2026-09-23,1.16.0
Proton-M,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Li / F2 / H2  (tripropellant),542.0,37.5609756097561,2955,0.9685599422909739,36.380056368978046,2991.380056368978,2026-09-23,1.16.0
Proton-M,operational,LEO  →  GEO depot,4291.0,0.01,Argon  (Hall / ion),1500.0,10.0,2955,0.33871047427454104,3.3871047427454104,2958.3871047427456,2026-09-23,1.16.0
Proton-M,operational,TLI  →  low lunar orbit (LOI),900.0,0.01,PPT  (PTFE pulsed plasma),1000.0,25.0,2955,0.09611757492989637,2.402939373247409,2957.4029393732476,2026-09-23,1.16.0
Proton-M,operational,LEO  →  trans-Mars injection,3600.0,0.7,Direct fusion drive,10000.0,1000000.0,2955,0.03739190907097267,37391.90907097267,40346.90907097267,2026-09-23,1.16.0
Proton-M,operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,HTP  (98% peroxide monoprop),165.0,5.0,2955,15.135861498216599,75.679307491083,3030.679307491083,2026-09-23,1.16.0
Proton-M,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,"Nuclear electric  (NEP, xenon)",5000.0,10000.0,2955,0.07675277243354928,767.5277243354927,3722.5277243354926,2026-09-23,1.16.0
Proton-M,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Beamed laser-thermal  (H2),900.0,10.0,2955,0.011394609738294648,0.11394609738294648,2955.1139460973827,2026-09-23,1.16.0
Ariane 6 (A62),operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Krypton  (Hall),2000.0,300.0,9311,0.25789054573126236,77.36716371937871,9388.367163719378,2026-09-23,1.16.0
Ariane 6 (A62),operational,LEO  →  hard NEA,8500.0,2.0,"Argon  (Hall / ion, cryogenic)",1500.0,10.0,9311,0.7821833029274281,7.821833029274281,9318.821833029275,2026-09-23,1.16.0
Ariane 6 (A62),operational,NEA  →  Earth return (propulsive),5500.0,1.5,MMH / NTO  (hypergolic),336.0,59.528301886792455,9311,4.30780471348827,256.4362994538772,9567.436299453877,2026-09-23,1.16.0
Ariane 6 (A62),operational,Main belt  →  Earth return,7500.0,4.0,Hydrazine arcjet,600.0,75.0,9311,2.5774321489697165,193.30741117272873,9504.30741117273,2026-09-23,1.16.0
Ariane 6 (A62),operational,TLI  →  NRHO insertion,450.0,0.01,CO / LOX  (carbonaceous ISRU),260.0,0.7095541401273886,9311,0.19302171451326222,0.13695935666737205,9311.136959356667,2026-09-23,1.16.0
Ariane 6 (A62),operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,UDMH / NTO  (hypergolic),318.0,47.5,9311,0.8017200888708529,38.08170422136551,9349.081704221366,2026-09-23,1.16.0
Ariane 6 (A62),operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Mercury ion  (RETIRED),3000.0,60.0,9311,0.05187882693939838,3.112729616363903,9314.112729616363,2026-09-23,1.16.0
Ariane 6 (A62),operational,NRHO  →  low lunar orbit,730.0,0.01,Antimatter-catalysed,100000.0,6.25e+16,9311,0.0007446699645807797,46541872786298.734,46541872795609.734,2026-09-23,1.16.0
Ariane 6 (A62),operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,HTP / RP-1  (peroxide bipropellant),320.0,4.6875,9311,0.3321513408223806,1.5569594101049091,9312.556959410105,2026-09-23,1.16.0
Ariane 6 (A62),operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Solar thermal  (LH2),800.0,10.0,9311,0.12155719681666799,1.21557196816668,9312.215571968167,2026-09-23,1.16.0
Ariane 6 (A62),operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,kerolox  (RP-1 / LOX),340.0,0.896969696969697,9311,0.03044593311812971,0.027309079402928465,9311.027309079403,2026-09-23,1.16.0
Ariane 6 (A64),operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Iodine  (Hall / gridded),2000.0,60.0,5694,0.17721866665439712,10.633119999263826,5704.633119999264,2026-09-23,1.16.0
Ariane 6 (A64),operational,LEO  →  average NEA,6500.0,1.5,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,5694,0.18022356761132197,14.417885408905757,5708.417885408906,2026-09-23,1.16.0
Ariane 6 (A64),operational,Asteroid station-keeping,200.0,0.5,Hydrazine  (monoprop),220.0,75.0,5694,0.09713416320096546,7.28506224007241,5701.285062240072,2026-09-23,1.16.0
Ariane 6 (A64),operational,NEA  →  Earth return (aerocap),1500.0,1.5,Electrospray  (ionic liquid),2500.0,2000.0,5694,0.06309341354847708,126.18682709695418,5820.186827096954,2026-09-23,1.16.0
Ariane 6 (A64),operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Mass driver  (regolith reaction mass),306.0,0.1,5694,1.8568164237981435,0.18568164237981435,5694.18568164238,2026-09-23,1.16.0
Ariane 6 (A64),operational,LEO  →  GTO (perigee burn),2455.0,0.001,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,5694,1.1865250143003627,63.28133409601934,5757.281334096019,2026-09-23,1.16.0
Ariane 6 (A64),operational,LEO  →  GEO depot,4291.0,0.01,Solar sail  (photonic),inf,0.0,5694,0.0,0.0,5694.0,2026-09-23,1.16.0
Ariane 6 (A64),operational,TLI  →  low lunar orbit (LOI),900.0,0.01,Magnetic sail / electric sail,inf,0.0,5694,0.0,0.0,5694.0,2026-09-23,1.16.0
Ariane 6 (A64),operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,Cold gas  (GN2),70.0,1.0,5694,20.30940743730244,20.30940743730244,5714.309407437302,2026-09-23,1.16.0
Ariane 6 (A64),operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,Solar thermal steam  (water),190.0,2.0,5694,10.191083515284166,20.382167030568333,5714.382167030569,2026-09-23,1.16.0
Ariane 6 (A64),operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,5694,0.2373441645299328,0.3797506632478924,5694.379750663248,2026-09-23,1.16.0
Vega C,operational,LEO  →  GTO,2440.0,0.001,Water  (electrothermal / resistojet),190.0,2.0,16581,2.704433311030121,5.408866622060242,16586.40886662206,2026-09-23,1.16.0
Vega C,operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,16581,7.891592529568653,19.728981323921634,16600.728981323922,2026-09-23,1.16.0
Vega C,operational,LEO  →  main-belt asteroid,10500.0,3.5,Xenon  (Hall / ion),3000.0,10000.0,16581,0.42889393726087466,4288.939372608746,20869.939372608747,2026-09-23,1.16.0
Vega C,operational,NEA  →  Earth return (propulsive),5500.0,1.5,FEEP  (indium field emission),6000.0,250.0,16581,0.09798204027321344,24.49551006830336,16605.495510068304,2026-09-23,1.16.0
Vega C,operational,Main belt  →  Earth return,7500.0,4.0,Nuclear pulse  (Orion),10000.0,50000.0,16581,0.07947921442828254,3973.960721414127,20554.96072141413,2026-09-23,1.16.0
Vega C,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,16581,3.768913274651964,1884.456637325982,18465.45663732598,2026-09-23,1.16.0
Vega C,operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,"Nuclear thermal  (LH2, NTP)",900.0,10.0,16581,0.231240388830245,2.31240388830245,16583.312403888303,2026-09-23,1.16.0
Vega C,operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Momentum-exchange tether,inf,0.0,16581,0.0,0.0,16581.0,2026-09-23,1.16.0
Vega C,operational,LEO  →  trans-Mars injection,3600.0,0.7,Solid  (APCP),285.0,15.0,16581,2.6257551534851893,39.38632730227784,16620.386327302276,2026-09-23,1.16.0
Vega C,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,"VASIMR  (argon, variable Isp)",4000.0,10.0,16581,0.02320884407714985,0.23208844077149848,16581.23208844077,2026-09-23,1.16.0
Vega C,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,methalox  (LCH4 / LOX),380.0,0.24347826086956526,16581,1.6459335295725457,0.40074903328722855,16581.400749033288,2026-09-23,1.16.0
Vega C,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Water  (gridded ion / ECR),900.0,2.0,16581,0.011394609738294648,0.022789219476589295,16581.022789219478,2026-09-23,1.16.0
Spectrum,operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Li / F2 / H2  (tripropellant),542.0,37.5609756097561,11500,0.8258515347686033,31.019789354723148,11531.019789354723,2026-09-23,1.16.0
Spectrum,operational,LEO  →  hard NEA,8500.0,2.0,Argon  (Hall / ion),1500.0,10.0,11500,0.7821833029274281,7.821833029274281,11507.821833029275,2026-09-23,1.16.0
Spectrum,operational,Asteroid station-keeping,200.0,0.5,PPT  (PTFE pulsed plasma),1000.0,25.0,11500,0.020603709491569422,0.5150927372892355,11500.515092737289,2026-09-23,1.16.0
Spectrum,operational,NEA  →  Earth return (aerocap),1500.0,1.5,Direct fusion drive,10000.0,1000000.0,11500,0.015413321793718682,15413.321793718682,26913.321793718682,2026-09-23,1.16.0
Spectrum,operational,TLI  →  NRHO insertion,450.0,0.01,HTP  (98% peroxide monoprop),165.0,5.0,11500,0.3206240918501717,1.6031204592508586,11501.603120459251,2026-09-23,1.16.0
Spectrum,operational,LEO  →  GTO (perigee burn),2455.0,0.001,"Nuclear electric  (NEP, xenon)",5000.0,10000.0,11500,0.05134265468993826,513.4265468993826,12013.426546899384,2026-09-23,1.16.0
Spectrum,operational,LEO  →  GEO depot,4291.0,0.01,Beamed laser-thermal  (H2),900.0,10.0,11500,0.6260894631306189,6.260894631306188,11506.260894631307,2026-09-23,1.16.0
Spectrum,operational,NRHO  →  low lunar orbit,730.0,0.01,Krypton  (Hall),2000.0,300.0,11500,0.03792096660609423,11.376289981828268,11511.376289981828,2026-09-23,1.16.0
Spectrum,operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,"Argon  (Hall / ion, cryogenic)",1500.0,10.0,11500,0.15345325095952078,1.5345325095952078,11501.534532509595,2026-09-23,1.16.0
Spectrum,operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,MMH / NTO  (hypergolic),336.0,59.528301886792455,11500,0.31408193212429425,18.696764072682047,11518.696764072682,2026-09-23,1.16.0
Spectrum,operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,Hydrazine arcjet,600.0,75.0,11500,0.17402187116153534,13.05164033711515,11513.051640337115,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  GTO,2440.0,0.001,CO / LOX  (carbonaceous ISRU),260.0,0.7095541401273886,3778,1.6037805485000542,1.1379691280439876,3779.137969128044,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  average NEA,6500.0,1.5,UDMH / NTO  (hypergolic),318.0,47.5,3778,7.039167978421506,334.3604789750216,4112.360478975022,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  main-belt asteroid,10500.0,3.5,Mercury ion  (RETIRED),3000.0,60.0,3778,0.42889393726087466,25.73363623565248,3803.7336362356523,2026-09-23,1.16.0
H3 (24L),operational,NEA  →  Earth return (propulsive),5500.0,1.5,Antimatter-catalysed,100000.0,6.25e+16,3778,0.005624195909478047,351512244342377.94,351512244346155.94,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,HTP / RP-1  (peroxide bipropellant),320.0,4.6875,3778,1.7285849654650014,8.102742025617195,3786.1027420256173,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Solar thermal  (LH2),800.0,10.0,3778,0.5822886250400927,5.822886250400927,3783.822886250401,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  GEO depot,4291.0,0.01,kerolox  (RP-1 / LOX),340.0,0.896969696969697,3778,2.621693898241904,2.351579981453344,3780.351579981453,2026-09-23,1.16.0
H3 (24L),operational,TLI  →  low lunar orbit (LOI),900.0,0.01,Iodine  (Hall / gridded),2000.0,60.0,3778,0.04695633859769743,2.817380315861846,3780.817380315862,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  trans-Mars injection,3600.0,0.7,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,3778,0.09611757492989637,7.689405994391709,3785.6894059943916,2026-09-23,1.16.0
H3 (24L),operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,Hydrazine  (monoprop),220.0,75.0,3778,7.050894175063117,528.8170631297338,4306.8170631297335,2026-09-23,1.16.0
H3 (24L),operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,Electrospray  (ionic liquid),2500.0,2000.0,3778,0.1593965329433349,318.79306588666975,4096.79306588667,2026-09-23,1.16.0
H3 (24L),operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Mass driver  (regolith reaction mass),306.0,0.1,3778,0.033885525126160276,0.0033885525126160277,3778.0033885525127,2026-09-23,1.16.0
H3 (30),operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,9075,3.1953464566232626,170.418477686574,9245.418477686573,2026-09-23,1.16.0
H3 (30),operational,LEO  →  hard NEA,8500.0,2.0,Solar sail  (photonic),inf,0.0,9075,0.0,0.0,9075.0,2026-09-23,1.16.0
H3 (30),operational,Asteroid station-keeping,200.0,0.5,Magnetic sail / electric sail,inf,0.0,9075,0.0,0.0,9075.0,2026-09-23,1.16.0
H3 (30),operational,Main belt  →  Earth return,7500.0,4.0,Cold gas  (GN2),70.0,1.0,9075,55576.340562764715,55576.340562764715,64651.340562764715,2026-09-23,1.16.0
H3 (30),operational,TLI  →  NRHO insertion,450.0,0.01,Solar thermal steam  (water),190.0,2.0,9075,0.27317239506570945,0.5463447901314189,9075.546344790131,2026-09-23,1.16.0
H3 (30),operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,9075,0.5131647390867919,0.821063582538867,9075.821063582538,2026-09-23,1.16.0
H3 (30),operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Water  (electrothermal / resistojet),190.0,2.0,9075,1.2224246900385758,2.4448493800771516,9077.444849380077,2026-09-23,1.16.0
H3 (30),operational,NRHO  →  low lunar orbit,730.0,0.01,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,9075,0.42542893977868657,1.0635723494467164,9076.063572349447,2026-09-23,1.16.0
H3 (30),operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Xenon  (Hall / ion),3000.0,10000.0,9075,0.031064214076153895,310.64214076153894,9385.642140761538,2026-09-23,1.16.0
H3 (30),operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,FEEP  (indium field emission),6000.0,250.0,9075,0.015413321793718682,3.8533304484296704,9078.85333044843,2026-09-23,1.16.0
H3 (30),operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,Nuclear pulse  (Orion),10000.0,50000.0,9075,0.009672601175138906,483.6300587569453,9558.630058756946,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,5179,3.009031683896202,1504.515841948101,6683.515841948101,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,LEO  →  average NEA,6500.0,1.5,"Nuclear thermal  (LH2, NTP)",900.0,10.0,5179,1.0885325900809648,10.885325900809647,5189.885325900809,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,LEO  →  main-belt asteroid,10500.0,3.5,Momentum-exchange tether,inf,0.0,5179,0.0,0.0,5179.0,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,NEA  →  Earth return (aerocap),1500.0,1.5,Solid  (APCP),285.0,15.0,5179,0.710340962088438,10.65511443132657,5189.655114431326,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,"VASIMR  (argon, variable Isp)",4000.0,10.0,5179,0.08361497604410939,0.8361497604410939,5179.836149760441,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,LEO  →  GTO (perigee burn),2455.0,0.001,methalox  (LCH4 / LOX),380.0,0.24347826086956526,5179,0.9324533140282145,0.22703211124165226,5179.227032111242,2026-09-23,1.16.0
LVM3 (GSLV Mk III),operational,LEO  →  GEO depot,4291.0,0.01,Water  (gridded ion / ECR),900.0,2.0,5179,0.6260894631306189,1.2521789262612377,5180.252178926261,2026-09-23,1.16.0
